,demand,hdd,t2m3,rh,t2m4,t2min,cdd,w10,q,mtpr,t2m,msdwswrf,t2max
2020-04-09,179925.9827016771,1.2583618562995798,289.77976660688813,84.88168951866092,289.7386704329466,288.681195792012,0.0,1.735384422543666,10.580582095142788,6.627602833459768e-05,290.4616934470272,127.39225869188277,292.5763440334234
2020-04-14,178727.3175386668,2.4980341755428883,288.21454101971284,74.10631206078905,288.36701898269934,285.0954776875863,0.0,0.8851784701593293,9.008695689559513,-4.824908571694348e-07,290.11189632006017,206.1650465745543,295.3743450479971
2020-04-15,180607.86549926593,2.0079159422682173,290.2119373585012,68.06377012371063,289.2947230633047,287.96737083417486,0.010389695099378645,2.3859311150579186,9.665571785276317,1.1014846916578507e-07,292.5348355852559,196.5756510046013,297.6284622053156
2020-04-16,182275.54426582673,1.050592001000448,291.9523544760531,63.35503267696887,290.96151824492017,287.4857242195408,0.0009837694491670603,3.1456551126895738,9.438351885491432,2.547502134057849e-06,293.20981057563495,153.16197744765674,297.85533570499155
2020-04-17,174156.2537537722,0.7743624325489634,291.7701130105632,55.46875821963416,291.3556637046702,283.2928146523954,0.003597604457116007,3.1565425087420875,6.564894169096298,-3.049278112230691e-07,289.5651757444762,208.9823798131542,295.5829105338121
2020-04-20,184989.60068406438,2.4525339517804534,288.1027852150733,67.48349632546419,288.4684852193546,284.40371480013516,7.191135915127777e-08,2.4052163405793356,7.480180218336002,-4.922371198476638e-07,288.70216579910533,138.39276156854476,293.0771525867568
2020-04-21,179837.61219093372,2.3295953145984476,288.89597266040954,66.65489510615038,288.58135407338824,284.77135174474694,0.0,1.788702297038133,8.075740319996811,-4.856012527575117e-07,290.01661860301357,181.18987608450453,295.5224985606882
2020-04-22,180298.16898148227,2.0872454076476563,289.1534666703231,64.3043996030284,288.8573643412918,282.8821932279404,0.0,1.5849393216768723,7.1589017861164095,-1.848278323805707e-07,288.7411051139321,198.19368600414563,295.2327839190192
2020-04-23,180032.13096557802,1.6027581894013188,289.6848973761002,63.04313802026994,289.4393204348356,285.90152329064784,0.0,1.986204940349162,7.750517697788439,-6.079359410697324e-08,290.2964449730675,193.1129794216243,294.5290745700734
2020-04-24,175782.82805205422,1.3504026256610535,289.70805412136457,66.96544970524737,289.7853043707707,284.03402982500444,4.072346175723634e-08,1.353249634875842,8.115620213516141,-2.1856360947380263e-07,290.0860857985231,185.17985725508737,296.37319171380585
2020-04-28,184012.3755612788,0.897564063731368,290.63250993591726,82.14544443096025,290.6417495857565,288.44071590894544,0.000665652639991915,3.2801877806903943,10.816811701295793,3.448153725575216e-05,291.2766777367571,123.3466573947765,294.1431742746416
2020-04-29,188205.4317563799,0.9140189292521104,291.08165600853573,78.58101799417165,290.9497087013269,288.66570071863663,4.190794522624501e-06,3.5391727762860614,10.805048160494627,8.068779132956237e-05,291.9008810222726,107.01503911760126,296.09645655707743
2020-04-30,199364.1324868832,2.1082881592413076,289.32544275770795,76.50265667291399,289.51091161288883,281.8147019952015,0.0,4.224173511465225,6.5902042610867655,8.831383749120298e-05,284.7982385271931,65.4381650770078,291.19060809982983
2020-05-01,194324.72265632058,3.1775602766337983,287.3093349525235,59.33685948729053,288.30128128705024,283.0737749146302,0.0,6.445577481270243,5.114984370420623,1.5368040655807733e-05,285.22836514049067,150.436610385523,286.9919770369329
2020-05-04,197193.76384491334,5.585433888898239,285.07164682852755,71.46161597755287,285.1109366369404,283.18349952536084,0.0,2.8748012343788254,6.471351973946472,8.656468100907343e-06,285.77153661764845,166.66557245305452,289.7715111478251
2020-05-05,195525.72582101577,5.430826042703351,285.2727437965707,81.8960263418822,285.2655081457757,281.41449945083673,0.0,1.3650102717075807,7.507748777520379,6.605106185470788e-06,285.8466270955643,130.06252581296783,290.6317853667677
2020-05-06,192847.7317650698,5.097358874677255,286.06725084955036,75.80244867064323,285.6004327949221,281.5651277477769,0.0,2.1227144692512687,7.274929121643328,-1.2167817190077861e-07,286.58306442909816,163.22987712623146,292.502385826287
2020-05-07,189907.35158463987,3.9763212562382924,287.06802376260987,71.8662650290495,286.74400562908033,284.5215646836034,0.0,3.1088670067106903,7.97866770801167,-4.281639803633557e-07,288.77385626447506,153.1810871646828,294.24424390325186
2020-05-08,179580.29518745738,2.9905170045760188,288.5397085350643,63.642673417636736,287.8665492020407,285.88671630507935,0.0,3.2053117648312184,7.782000945770399,6.9661735272708e-07,290.2616755686296,161.32179494459206,295.65693568884603
